Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,23.050500,-22.529800,90.000000,top
C2,100nF,C_0805_2012Metric,36.868100,-23.545800,90.000000,top
C3,10nF,C_0805_2012Metric,44.513500,-35.788600,90.000000,top
C4,10nF,C_0805_2012Metric,41.084500,-35.788600,270.000000,top
Q1,Q_NPN_BEC,SOT-23,41.719500,-22.682200,180.000000,top
Q2,Q_NPN_BEC,SOT-23,46.164500,-22.682200,180.000000,top
R1,470,R_0805_2012Metric,9.359900,-23.698200,90.000000,top
R2,470,R_0805_2012Metric,11.645900,-23.698200,90.000000,top
R3,470,R_0805_2012Metric,13.931900,-23.698200,90.000000,top
R4,470,R_0805_2012Metric,16.217900,-23.698200,90.000000,top
R5,470,R_0805_2012Metric,16.192500,-16.383000,90.000000,top
R6,470,R_0805_2012Metric,18.478500,-16.383000,90.000000,top
R7,470,R_0805_2012Metric,20.764500,-16.383000,90.000000,top
R8,470,R_0805_2012Metric,23.050500,-16.383000,90.000000,top
R9,22K,R_0603_1608Metric,41.719500,-25.679400,180.000000,top
R10,22K,R_0603_1608Metric,46.139100,-25.679400,180.000000,top
R11,10K,R_0603_1608Metric,56.578500,-33.655000,180.000000,top
R12,10K,R_0603_1608Metric,52.641500,-33.655000,180.000000,top
R13,10K,R_0603_1608Metric,56.578500,-35.877500,180.000000,top
R14,10K,R_0603_1608Metric,52.641500,-35.877500,180.000000,top
R15,10K,R_0603_1608Metric,16.243300,-31.496000,180.000000,top
U1,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,29.972000,-22.733000,270.000000,top
